GEO_id,GEO_id2,GEO_display_label,HD01_VD01,HD02_VD01
1400000US48085031635,48085031635,"Census Tract 316.35, Collin County, Texas",4409,351
1400000US48085031636,48085031636,"Census Tract 316.36, Collin County, Texas",6748,442
1400000US48085031637,48085031637,"Census Tract 316.37, Collin County, Texas",6813,403
1400000US48085031638,48085031638,"Census Tract 316.38, Collin County, Texas",7433,350
1400000US48085031639,48085031639,"Census Tract 316.39, Collin County, Texas",6418,444
1400000US48085031640,48085031640,"Census Tract 316.40, Collin County, Texas",8168,553
1400000US48085031641,48085031641,"Census Tract 316.41, Collin County, Texas",6743,315
1400000US48085031642,48085031642,"Census Tract 316.42, Collin County, Texas",4658,244
1400000US48085031643,48085031643,"Census Tract 316.43, Collin County, Texas",4812,343
1400000US48085031645,48085031645,"Census Tract 316.45, Collin County, Texas",2026,103
1400000US48085031646,48085031646,"Census Tract 316.46, Collin County, Texas",5705,305
1400000US48085031647,48085031647,"Census Tract 316.47, Collin County, Texas",3037,193
1400000US48085031648,48085031648,"Census Tract 316.48, Collin County, Texas",7460,442
1400000US48085031649,48085031649,"Census Tract 316.49, Collin County, Texas",4438,309
1400000US48085031652,48085031652,"Census Tract 316.52, Collin County, Texas",7565,504
1400000US48085031653,48085031653,"Census Tract 316.53, Collin County, Texas",7390,375
1400000US48085031654,48085031654,"Census Tract 316.54, Collin County, Texas",4036,214
1400000US48085031655,48085031655,"Census Tract 316.55, Collin County, Texas",4619,302
1400000US48085031656,48085031656,"Census Tract 316.56, Collin County, Texas",2613,259
1400000US48085031657,48085031657,"Census Tract 316.57, Collin County, Texas",2299,283
1400000US48085031658,48085031658,"Census Tract 316.58, Collin County, Texas",4632,457
1400000US48085031659,48085031659,"Census Tract 316.59, Collin County, Texas",1966,325
1400000US48085031660,48085031660,"Census Tract 316.60, Collin County, Texas",4301,392
1400000US48085031661,48085031661,"Census Tract 316.61, Collin County, Texas",3030,253
1400000US48085031662,48085031662,"Census Tract 316.62, Collin County, Texas",5125,278
1400000US48085031663,48085031663,"Census Tract 316.63, Collin County, Texas",3594,259
1400000US48085031664,48085031664,"Census Tract 316.64, Collin County, Texas",4193,232
1400000US48085031704,48085031704,"Census Tract 317.04, Collin County, Texas",3911,342
1400000US48085031706,48085031706,"Census Tract 317.06, Collin County, Texas",2108,138
1400000US48085031708,48085031708,"Census Tract 317.08, Collin County, Texas",3875,272
1400000US48085031709,48085031709,"Census Tract 317.09, Collin County, Texas",4498,422
1400000US48085031711,48085031711,"Census Tract 317.11, Collin County, Texas",3140,253
1400000US48085031712,48085031712,"Census Tract 317.12, Collin County, Texas",5333,543
1400000US48085031713,48085031713,"Census Tract 317.13, Collin County, Texas",4017,421
1400000US48085031714,48085031714,"Census Tract 317.14, Collin County, Texas",6263,627
1400000US48085031715,48085031715,"Census Tract 317.15, Collin County, Texas",2607,233
1400000US48085031716,48085031716,"Census Tract 317.16, Collin County, Texas",2230,258
1400000US48085031717,48085031717,"Census Tract 317.17, Collin County, Texas",2216,255
1400000US48085031718,48085031718,"Census Tract 317.18, Collin County, Texas",2704,261
1400000US48085031719,48085031719,"Census Tract 317.19, Collin County, Texas",1739,120
1400000US48085031720,48085031720,"Census Tract 317.20, Collin County, Texas",4643,530
1400000US48085031802,48085031802,"Census Tract 318.02, Collin County, Texas",5822,473
1400000US48085031804,48085031804,"Census Tract 318.04, Collin County, Texas",4048,335
1400000US48085031805,48085031805,"Census Tract 318.05, Collin County, Texas",5360,262
1400000US48085031806,48085031806,"Census Tract 318.06, Collin County, Texas",2151,269
1400000US48085031807,48085031807,"Census Tract 318.07, Collin County, Texas",4964,322
1400000US48085031900,48085031900,"Census Tract 319, Collin County, Texas",4942,429
1400000US48085032003,48085032003,"Census Tract 320.03, Collin County, Texas",5639,514
1400000US48085032004,48085032004,"Census Tract 320.04, Collin County, Texas",7725,841
1400000US48085032008,48085032008,"Census Tract 320.08, Collin County, Texas",3969,325
1400000US48085032009,48085032009,"Census Tract 320.09, Collin County, Texas",7150,320
1400000US48085032010,48085032010,"Census Tract 320.10, Collin County, Texas",5064,425
1400000US48085032011,48085032011,"Census Tract 320.11, Collin County, Texas",6670,394
1400000US48085032012,48085032012,"Census Tract 320.12, Collin County, Texas",4152,319
1400000US48085032013,48085032013,"Census Tract 320.13, Collin County, Texas",6219,470
1400000US48087950300,48087950300,"Census Tract 9503, Collingsworth County, Texas",3058,
1400000US48089750100,48089750100,"Census Tract 7501, Colorado County, Texas",4923,382
1400000US48089750200,48089750200,"Census Tract 7502, Colorado County, Texas",1808,344
1400000US48089750300,48089750300,"Census Tract 7503, Colorado County, Texas",4914,445
1400000US48089750400,48089750400,"Census Tract 7504, Colorado County, Texas",5338,573
1400000US48089750500,48089750500,"Census Tract 7505, Colorado County, Texas",3774,460
1400000US48091310100,48091310100,"Census Tract 3101, Comal County, Texas",3478,437
1400000US48091310200,48091310200,"Census Tract 3102, Comal County, Texas",2852,416
1400000US48091310300,48091310300,"Census Tract 3103, Comal County, Texas",7308,518
1400000US48091310401,48091310401,"Census Tract 3104.01, Comal County, Texas",5310,486
1400000US48091310403,48091310403,"Census Tract 3104.03, Comal County, Texas",6005,508
1400000US48091310404,48091310404,"Census Tract 3104.04, Comal County, Texas",4247,390
1400000US48091310501,48091310501,"Census Tract 3105.01, Comal County, Texas",4015,369
1400000US48091310502,48091310502,"Census Tract 3105.02, Comal County, Texas",5378,502
1400000US48091310503,48091310503,"Census Tract 3105.03, Comal County, Texas",3968,420
1400000US48091310603,48091310603,"Census Tract 3106.03, Comal County, Texas",3340,407
1400000US48091310604,48091310604,"Census Tract 3106.04, Comal County, Texas",2800,256
1400000US48091310605,48091310605,"Census Tract 3106.05, Comal County, Texas",5245,487
1400000US48091310606,48091310606,"Census Tract 3106.06, Comal County, Texas",4810,557
1400000US48091310607,48091310607,"Census Tract 3106.07, Comal County, Texas",4689,630
1400000US48091310608,48091310608,"Census Tract 3106.08, Comal County, Texas",3401,409
1400000US48091310701,48091310701,"Census Tract 3107.01, Comal County, Texas",6552,712
1400000US48091310702,48091310702,"Census Tract 3107.02, Comal County, Texas",5462,624
1400000US48091310703,48091310703,"Census Tract 3107.03, Comal County, Texas",5565,357
1400000US48091310704,48091310704,"Census Tract 3107.04, Comal County, Texas",6824,775
1400000US48091310801,48091310801,"Census Tract 3108.01, Comal County, Texas",5715,478
1400000US48091310802,48091310802,"Census Tract 3108.02, Comal County, Texas",6889,726
1400000US48091310901,48091310901,"Census Tract 3109.01, Comal County, Texas",4673,463
1400000US48091310902,48091310902,"Census Tract 3109.02, Comal County, Texas",6654,418
1400000US48091310903,48091310903,"Census Tract 3109.03, Comal County, Texas",4452,330
1400000US48093950100,48093950100,"Census Tract 9501, Comanche County, Texas",4272,320
1400000US48093950200,48093950200,"Census Tract 9502, Comanche County, Texas",3349,365
1400000US48093950300,48093950300,"Census Tract 9503, Comanche County, Texas",4019,158
1400000US48093950400,48093950400,"Census Tract 9504, Comanche County, Texas",1983,260
1400000US48095950300,48095950300,"Census Tract 9503, Concho County, Texas",4086,
1400000US48097000100,48097000100,"Census Tract 1, Cooke County, Texas",5556,462
1400000US48097000200,48097000200,"Census Tract 2, Cooke County, Texas",5012,259
1400000US48097000400,48097000400,"Census Tract 4, Cooke County, Texas",2180,252
1400000US48097000500,48097000500,"Census Tract 5, Cooke County, Texas",3288,383
1400000US48097000600,48097000600,"Census Tract 6, Cooke County, Texas",5024,425
1400000US48097000700,48097000700,"Census Tract 7, Cooke County, Texas",7002,452
1400000US48097000900,48097000900,"Census Tract 9, Cooke County, Texas",4771,287
1400000US48097001100,48097001100,"Census Tract 11, Cooke County, Texas",5928,585
1400000US48099010101,48099010101,"Census Tract 101.01, Coryell County, Texas",3583,284
1400000US48099010102,48099010102,"Census Tract 101.02, Coryell County, Texas",3073,278
1400000US48099010201,48099010201,"Census Tract 102.01, Coryell County, Texas",7996,439
1400000US48099010202,48099010202,"Census Tract 102.02, Coryell County, Texas",4966,465
1400000US48099010300,48099010300,"Census Tract 103, Coryell County, Texas",2692,233
1400000US48099010400,48099010400,"Census Tract 104, Coryell County, Texas",4007,411
1400000US48099010501,48099010501,"Census Tract 105.01, Coryell County, Texas",4691,376
1400000US48099010502,48099010502,"Census Tract 105.02, Coryell County, Texas",2998,397
1400000US48099010503,48099010503,"Census Tract 105.03, Coryell County, Texas",4723,675
1400000US48099010504,48099010504,"Census Tract 105.04, Coryell County, Texas",2587,249
1400000US48099010601,48099010601,"Census Tract 106.01, Coryell County, Texas",4431,420
1400000US48099010603,48099010603,"Census Tract 106.03, Coryell County, Texas",5417,511
1400000US48099010604,48099010604,"Census Tract 106.04, Coryell County, Texas",5181,536
1400000US48099010701,48099010701,"Census Tract 107.01, Coryell County, Texas",4160,383
1400000US48099010702,48099010702,"Census Tract 107.02, Coryell County, Texas",3118,328
1400000US48099010802,48099010802,"Census Tract 108.02, Coryell County, Texas",5538,370
1400000US48099010803,48099010803,"Census Tract 108.03, Coryell County, Texas",2706,266
1400000US48099010804,48099010804,"Census Tract 108.04, Coryell County, Texas",4144,459
1400000US48099980000,48099980000,"Census Tract 9800, Coryell County, Texas",117,69
1400000US48101950100,48101950100,"Census Tract 9501, Cottle County, Texas",1510,473
1400000US48103950100,48103950100,"Census Tract 9501, Crane County, Texas",4730,
1400000US48105950100,48105950100,"Census Tract 9501, Crockett County, Texas",3699,189
1400000US48107950100,48107950100,"Census Tract 9501, Crosby County, Texas",2136,166
1400000US48107950200,48107950200,"Census Tract 9502, Crosby County, Texas",2417,181
1400000US48107950300,48107950300,"Census Tract 9503, Crosby County, Texas",1454,153
1400000US48109950300,48109950300,"Census Tract 9503, Culberson County, Texas",2296,
1400000US48111950100,48111950100,"Census Tract 9501, Dallam County, Texas",1512,216
1400000US48111950300,48111950300,"Census Tract 9503, Dallam County, Texas",5502,216
1400000US48113000100,48113000100,"Census Tract 1, Dallas County, Texas",3951,233
1400000US48113000201,48113000201,"Census Tract 2.01, Dallas County, Texas",2907,228
1400000US48113000202,48113000202,"Census Tract 2.02, Dallas County, Texas",3759,261
1400000US48113000300,48113000300,"Census Tract 3, Dallas County, Texas",4316,455
1400000US48113000401,48113000401,"Census Tract 4.01, Dallas County, Texas",6430,720
1400000US48113000404,48113000404,"Census Tract 4.04, Dallas County, Texas",3698,442
1400000US48113000405,48113000405,"Census Tract 4.05, Dallas County, Texas",2260,380
1400000US48113000406,48113000406,"Census Tract 4.06, Dallas County, Texas",7966,920
1400000US48113000500,48113000500,"Census Tract 5, Dallas County, Texas",4622,441
1400000US48113000601,48113000601,"Census Tract 6.01, Dallas County, Texas",6131,784
1400000US48113000603,48113000603,"Census Tract 6.03, Dallas County, Texas",4144,421
1400000US48113000605,48113000605,"Census Tract 6.05, Dallas County, Texas",2443,242
1400000US48113000606,48113000606,"Census Tract 6.06, Dallas County, Texas",2808,223
1400000US48113000701,48113000701,"Census Tract 7.01, Dallas County, Texas",4374,339
1400000US48113000702,48113000702,"Census Tract 7.02, Dallas County, Texas",2919,315
1400000US48113000800,48113000800,"Census Tract 8, Dallas County, Texas",7051,673
1400000US48113000900,48113000900,"Census Tract 9, Dallas County, Texas",4644,595
1400000US48113001001,48113001001,"Census Tract 10.01, Dallas County, Texas",1805,177
1400000US48113001002,48113001002,"Census Tract 10.02, Dallas County, Texas",2006,224
1400000US48113001101,48113001101,"Census Tract 11.01, Dallas County, Texas",3545,549
1400000US48113001102,48113001102,"Census Tract 11.02, Dallas County, Texas",2523,259
1400000US48113001202,48113001202,"Census Tract 12.02, Dallas County, Texas",3527,304
1400000US48113001203,48113001203,"Census Tract 12.03, Dallas County, Texas",1489,137
1400000US48113001204,48113001204,"Census Tract 12.04, Dallas County, Texas",3138,383
1400000US48113001301,48113001301,"Census Tract 13.01, Dallas County, Texas",2405,290
1400000US48113001302,48113001302,"Census Tract 13.02, Dallas County, Texas",2418,432
1400000US48113001400,48113001400,"Census Tract 14, Dallas County, Texas",3828,350
1400000US48113001502,48113001502,"Census Tract 15.02, Dallas County, Texas",3319,460
1400000US48113001503,48113001503,"Census Tract 15.03, Dallas County, Texas",3610,405
1400000US48113001504,48113001504,"Census Tract 15.04, Dallas County, Texas",2694,363
1400000US48113001600,48113001600,"Census Tract 16, Dallas County, Texas",4274,341
1400000US48113001701,48113001701,"Census Tract 17.01, Dallas County, Texas",466,63
1400000US48113001703,48113001703,"Census Tract 17.03, Dallas County, Texas",3523,315
1400000US48113001704,48113001704,"Census Tract 17.04, Dallas County, Texas",1361,154
1400000US48113001800,48113001800,"Census Tract 18, Dallas County, Texas",4248,417
1400000US48113001900,48113001900,"Census Tract 19, Dallas County, Texas",5095,465
1400000US48113002000,48113002000,"Census Tract 20, Dallas County, Texas",5350,605
1400000US48113002100,48113002100,"Census Tract 21, Dallas County, Texas",1674,158
1400000US48113002200,48113002200,"Census Tract 22, Dallas County, Texas",2258,310
1400000US48113002400,48113002400,"Census Tract 24, Dallas County, Texas",3339,478
1400000US48113002500,48113002500,"Census Tract 25, Dallas County, Texas",4854,457
1400000US48113002701,48113002701,"Census Tract 27.01, Dallas County, Texas",3043,453
1400000US48113002702,48113002702,"Census Tract 27.02, Dallas County, Texas",1747,230
1400000US48113003101,48113003101,"Census Tract 31.01, Dallas County, Texas",3129,322
1400000US48113003400,48113003400,"Census Tract 34, Dallas County, Texas",1413,195
1400000US48113003700,48113003700,"Census Tract 37, Dallas County, Texas",3121,395
1400000US48113003800,48113003800,"Census Tract 38, Dallas County, Texas",2054,267
1400000US48113003901,48113003901,"Census Tract 39.01, Dallas County, Texas",1826,265
1400000US48113003902,48113003902,"Census Tract 39.02, Dallas County, Texas",1682,265
1400000US48113004000,48113004000,"Census Tract 40, Dallas County, Texas",980,181
1400000US48113004100,48113004100,"Census Tract 41, Dallas County, Texas",1120,231
1400000US48113004201,48113004201,"Census Tract 42.01, Dallas County, Texas",4211,454
1400000US48113004202,48113004202,"Census Tract 42.02, Dallas County, Texas",2503,281
1400000US48113004300,48113004300,"Census Tract 43, Dallas County, Texas",1777,232
1400000US48113004400,48113004400,"Census Tract 44, Dallas County, Texas",3389,302
1400000US48113004500,48113004500,"Census Tract 45, Dallas County, Texas",5728,581
1400000US48113004600,48113004600,"Census Tract 46, Dallas County, Texas",1559,284
1400000US48113004700,48113004700,"Census Tract 47, Dallas County, Texas",3708,460
1400000US48113004800,48113004800,"Census Tract 48, Dallas County, Texas",2838,305
1400000US48113004900,48113004900,"Census Tract 49, Dallas County, Texas",4410,643
1400000US48113005000,48113005000,"Census Tract 50, Dallas County, Texas",4425,543
1400000US48113005100,48113005100,"Census Tract 51, Dallas County, Texas",3048,301
1400000US48113005200,48113005200,"Census Tract 52, Dallas County, Texas",4300,493
1400000US48113005300,48113005300,"Census Tract 53, Dallas County, Texas",7224,601
1400000US48113005400,48113005400,"Census Tract 54, Dallas County, Texas",5224,595
1400000US48113005500,48113005500,"Census Tract 55, Dallas County, Texas",4072,583
1400000US48113005600,48113005600,"Census Tract 56, Dallas County, Texas",7965,741
1400000US48113005700,48113005700,"Census Tract 57, Dallas County, Texas",4645,565
1400000US48113005901,48113005901,"Census Tract 59.01, Dallas County, Texas",5047,384
1400000US48113005902,48113005902,"Census Tract 59.02, Dallas County, Texas",4231,517
1400000US48113006001,48113006001,"Census Tract 60.01, Dallas County, Texas",4533,545
1400000US48113006002,48113006002,"Census Tract 60.02, Dallas County, Texas",5657,487
1400000US48113006100,48113006100,"Census Tract 61, Dallas County, Texas",4296,471
1400000US48113006200,48113006200,"Census Tract 62, Dallas County, Texas",6312,696
1400000US48113006301,48113006301,"Census Tract 63.01, Dallas County, Texas",5691,505
1400000US48113006302,48113006302,"Census Tract 63.02, Dallas County, Texas",4388,504
1400000US48113006401,48113006401,"Census Tract 64.01, Dallas County, Texas",2612,210
1400000US48113006402,48113006402,"Census Tract 64.02, Dallas County, Texas",5949,431
1400000US48113006501,48113006501,"Census Tract 65.01, Dallas County, Texas",6644,584
1400000US48113006502,48113006502,"Census Tract 65.02, Dallas County, Texas",4258,354
1400000US48113006700,48113006700,"Census Tract 67, Dallas County, Texas",7912,696
1400000US48113006800,48113006800,"Census Tract 68, Dallas County, Texas",5766,626
1400000US48113006900,48113006900,"Census Tract 69, Dallas County, Texas",3512,355
1400000US48113007101,48113007101,"Census Tract 71.01, Dallas County, Texas",2091,180
1400000US48113007102,48113007102,"Census Tract 71.02, Dallas County, Texas",5606,635
1400000US48113007201,48113007201,"Census Tract 72.01, Dallas County, Texas",8474,842
1400000US48113007202,48113007202,"Census Tract 72.02, Dallas County, Texas",8104,777
1400000US48113007301,48113007301,"Census Tract 73.01, Dallas County, Texas",2068,144
1400000US48113007302,48113007302,"Census Tract 73.02, Dallas County, Texas",4779,399
1400000US48113007601,48113007601,"Census Tract 76.01, Dallas County, Texas",1983,217
1400000US48113007604,48113007604,"Census Tract 76.04, Dallas County, Texas",3180,268
1400000US48113007605,48113007605,"Census Tract 76.05, Dallas County, Texas",1789,130
1400000US48113007700,48113007700,"Census Tract 77, Dallas County, Texas",5092,448
1400000US48113007801,48113007801,"Census Tract 78.01, Dallas County, Texas",2179,159
1400000US48113007804,48113007804,"Census Tract 78.04, Dallas County, Texas",5208,661
1400000US48113007805,48113007805,"Census Tract 78.05, Dallas County, Texas",3131,300
1400000US48113007809,48113007809,"Census Tract 78.09, Dallas County, Texas",2271,207
1400000US48113007810,48113007810,"Census Tract 78.10, Dallas County, Texas",3928,400
1400000US48113007811,48113007811,"Census Tract 78.11, Dallas County, Texas",5684,607
1400000US48113007812,48113007812,"Census Tract 78.12, Dallas County, Texas",2893,124
1400000US48113007815,48113007815,"Census Tract 78.15, Dallas County, Texas",5014,508
1400000US48113007818,48113007818,"Census Tract 78.18, Dallas County, Texas",5743,610
1400000US48113007819,48113007819,"Census Tract 78.19, Dallas County, Texas",2321,388
1400000US48113007820,48113007820,"Census Tract 78.20, Dallas County, Texas",6080,758
1400000US48113007821,48113007821,"Census Tract 78.21, Dallas County, Texas",3359,541
1400000US48113007822,48113007822,"Census Tract 78.22, Dallas County, Texas",1316,171
1400000US48113007823,48113007823,"Census Tract 78.23, Dallas County, Texas",1444,181
1400000US48113007824,48113007824,"Census Tract 78.24, Dallas County, Texas",1829,100
1400000US48113007825,48113007825,"Census Tract 78.25, Dallas County, Texas",5997,785
1400000US48113007826,48113007826,"Census Tract 78.26, Dallas County, Texas",353,117
1400000US48113007827,48113007827,"Census Tract 78.27, Dallas County, Texas",2596,355
1400000US48113007902,48113007902,"Census Tract 79.02, Dallas County, Texas",4794,382
1400000US48113007903,48113007903,"Census Tract 79.03, Dallas County, Texas",2197,157
1400000US48113007906,48113007906,"Census Tract 79.06, Dallas County, Texas",2328,165
1400000US48113007909,48113007909,"Census Tract 79.09, Dallas County, Texas",2124,200
1400000US48113007910,48113007910,"Census Tract 79.10, Dallas County, Texas",3149,250
1400000US48113007911,48113007911,"Census Tract 79.11, Dallas County, Texas",2981,350
1400000US48113007912,48113007912,"Census Tract 79.12, Dallas County, Texas",1909,156
1400000US48113007913,48113007913,"Census Tract 79.13, Dallas County, Texas",2802,329
1400000US48113007914,48113007914,"Census Tract 79.14, Dallas County, Texas",2669,307
1400000US48113008000,48113008000,"Census Tract 80, Dallas County, Texas",6926,473
1400000US48113008100,48113008100,"Census Tract 81, Dallas County, Texas",6490,541
1400000US48113008200,48113008200,"Census Tract 82, Dallas County, Texas",4043,295
1400000US48113008400,48113008400,"Census Tract 84, Dallas County, Texas",9175,870
1400000US48113008500,48113008500,"Census Tract 85, Dallas County, Texas",5568,515
1400000US48113008603,48113008603,"Census Tract 86.03, Dallas County, Texas",942,175
1400000US48113008604,48113008604,"Census Tract 86.04, Dallas County, Texas",2860,353
1400000US48113008701,48113008701,"Census Tract 87.01, Dallas County, Texas",4221,565
1400000US48113008703,48113008703,"Census Tract 87.03, Dallas County, Texas",3163,461
1400000US48113008704,48113008704,"Census Tract 87.04, Dallas County, Texas",3402,503
1400000US48113008705,48113008705,"Census Tract 87.05, Dallas County, Texas",1358,167
1400000US48113008801,48113008801,"Census Tract 88.01, Dallas County, Texas",2711,231
1400000US48113008802,48113008802,"Census Tract 88.02, Dallas County, Texas",5932,697
1400000US48113008900,48113008900,"Census Tract 89, Dallas County, Texas",2859,398
1400000US48113009000,48113009000,"Census Tract 90, Dallas County, Texas",8670,801
1400000US48113009101,48113009101,"Census Tract 91.01, Dallas County, Texas",5765,566
1400000US48113009103,48113009103,"Census Tract 91.03, Dallas County, Texas",3576,357
1400000US48113009104,48113009104,"Census Tract 91.04, Dallas County, Texas",3848,300
1400000US48113009105,48113009105,"Census Tract 91.05, Dallas County, Texas",4102,400
1400000US48113009201,48113009201,"Census Tract 92.01, Dallas County, Texas",6349,627
1400000US48113009202,48113009202,"Census Tract 92.02, Dallas County, Texas",5840,530
1400000US48113009301,48113009301,"Census Tract 93.01, Dallas County, Texas",5704,567
1400000US48113009303,48113009303,"Census Tract 93.03, Dallas County, Texas",4076,360
1400000US48113009304,48113009304,"Census Tract 93.04, Dallas County, Texas",6203,748
1400000US48113009401,48113009401,"Census Tract 94.01, Dallas County, Texas",3760,313
1400000US48113009402,48113009402,"Census Tract 94.02, Dallas County, Texas",2442,178
1400000US48113009500,48113009500,"Census Tract 95, Dallas County, Texas",2365,191
1400000US48113009603,48113009603,"Census Tract 96.03, Dallas County, Texas",4908,299
1400000US48113009604,48113009604,"Census Tract 96.04, Dallas County, Texas",4672,618
1400000US48113009605,48113009605,"Census Tract 96.05, Dallas County, Texas",3637,397
1400000US48113009607,48113009607,"Census Tract 96.07, Dallas County, Texas",3405,319
1400000US48113009608,48113009608,"Census Tract 96.08, Dallas County, Texas",3829,432
1400000US48113009609,48113009609,"Census Tract 96.09, Dallas County, Texas",2786,131
1400000US48113009610,48113009610,"Census Tract 96.10, Dallas County, Texas",5081,429
1400000US48113009611,48113009611,"Census Tract 96.11, Dallas County, Texas",3667,436
1400000US48113009701,48113009701,"Census Tract 97.01, Dallas County, Texas",5425,477
1400000US48113009702,48113009702,"Census Tract 97.02, Dallas County, Texas",3125,184
1400000US48113009802,48113009802,"Census Tract 98.02, Dallas County, Texas",6521,505
1400000US48113009803,48113009803,"Census Tract 98.03, Dallas County, Texas",2237,209
1400000US48113009804,48113009804,"Census Tract 98.04, Dallas County, Texas",8252,652
1400000US48113009900,48113009900,"Census Tract 99, Dallas County, Texas",2875,291
1400000US48113010000,48113010000,"Census Tract 100, Dallas County, Texas",11185,602
1400000US48113010101,48113010101,"Census Tract 101.01, Dallas County, Texas",4690,673
1400000US48113010102,48113010102,"Census Tract 101.02, Dallas County, Texas",3029,351
1400000US48113010500,48113010500,"Census Tract 105, Dallas County, Texas",3111,249
1400000US48113010601,48113010601,"Census Tract 106.01, Dallas County, Texas",6107,651
1400000US48113010602,48113010602,"Census Tract 106.02, Dallas County, Texas",3183,385
1400000US48113010701,48113010701,"Census Tract 107.01, Dallas County, Texas",5195,650
1400000US48113010703,48113010703,"Census Tract 107.03, Dallas County, Texas",2743,244
1400000US48113010704,48113010704,"Census Tract 107.04, Dallas County, Texas",4846,611
1400000US48113010801,48113010801,"Census Tract 108.01, Dallas County, Texas",9872,703
1400000US48113010803,48113010803,"Census Tract 108.03, Dallas County, Texas",6767,513
1400000US48113010804,48113010804,"Census Tract 108.04, Dallas County, Texas",4665,677
1400000US48113010805,48113010805,"Census Tract 108.05, Dallas County, Texas",6290,588
1400000US48113010902,48113010902,"Census Tract 109.02, Dallas County, Texas",6937,714
1400000US48113010903,48113010903,"Census Tract 109.03, Dallas County, Texas",3512,394
1400000US48113010904,48113010904,"Census Tract 109.04, Dallas County, Texas",3271,365
1400000US48113011001,48113011001,"Census Tract 110.01, Dallas County, Texas",6878,713
1400000US48113011002,48113011002,"Census Tract 110.02, Dallas County, Texas",3329,286
1400000US48113011101,48113011101,"Census Tract 111.01, Dallas County, Texas",3959,413
1400000US48113011103,48113011103,"Census Tract 111.03, Dallas County, Texas",3277,508
1400000US48113011104,48113011104,"Census Tract 111.04, Dallas County, Texas",3906,724
1400000US48113011105,48113011105,"Census Tract 111.05, Dallas County, Texas",4256,380
1400000US48113011200,48113011200,"Census Tract 112, Dallas County, Texas",6850,747
1400000US48113011300,48113011300,"Census Tract 113, Dallas County, Texas",4986,458
1400000US48113011401,48113011401,"Census Tract 114.01, Dallas County, Texas",4746,380
1400000US48113011500,48113011500,"Census Tract 115, Dallas County, Texas",3092,402
1400000US48113011601,48113011601,"Census Tract 116.01, Dallas County, Texas",4375,503
1400000US48113011602,48113011602,"Census Tract 116.02, Dallas County, Texas",6973,561
1400000US48113011701,48113011701,"Census Tract 117.01, Dallas County, Texas",6705,769
1400000US48113011702,48113011702,"Census Tract 117.02, Dallas County, Texas",5798,443
1400000US48113011800,48113011800,"Census Tract 118, Dallas County, Texas",9417,840
1400000US48113011900,48113011900,"Census Tract 119, Dallas County, Texas",9729,846
1400000US48113012000,48113012000,"Census Tract 120, Dallas County, Texas",7461,779
1400000US48113012100,48113012100,"Census Tract 121, Dallas County, Texas",5974,468
1400000US48113012204,48113012204,"Census Tract 122.04, Dallas County, Texas",6354,549
1400000US48113012206,48113012206,"Census Tract 122.06, Dallas County, Texas",4568,450
1400000US48113012207,48113012207,"Census Tract 122.07, Dallas County, Texas",8335,883
1400000US48113012208,48113012208,"Census Tract 122.08, Dallas County, Texas",3116,247
1400000US48113012209,48113012209,"Census Tract 122.09, Dallas County, Texas",3555,346
1400000US48113012210,48113012210,"Census Tract 122.10, Dallas County, Texas",3848,483
1400000US48113012211,48113012211,"Census Tract 122.11, Dallas County, Texas",3981,341
1400000US48113012301,48113012301,"Census Tract 123.01, Dallas County, Texas",5047,530
1400000US48113012302,48113012302,"Census Tract 123.02, Dallas County, Texas",7806,767
1400000US48113012400,48113012400,"Census Tract 124, Dallas County, Texas",5576,528
1400000US48113012500,48113012500,"Census Tract 125, Dallas County, Texas",7878,610
1400000US48113012601,48113012601,"Census Tract 126.01, Dallas County, Texas",6592,627
1400000US48113012603,48113012603,"Census Tract 126.03, Dallas County, Texas",2036,180
1400000US48113012604,48113012604,"Census Tract 126.04, Dallas County, Texas",6952,714
1400000US48113012701,48113012701,"Census Tract 127.01, Dallas County, Texas",6869,559
1400000US48113012702,48113012702,"Census Tract 127.02, Dallas County, Texas",3506,336
1400000US48113012800,48113012800,"Census Tract 128, Dallas County, Texas",7576,715
1400000US48113012900,48113012900,"Census Tract 129, Dallas County, Texas",4155,342
1400000US48113013004,48113013004,"Census Tract 130.04, Dallas County, Texas",6369,504
1400000US48113013005,48113013005,"Census Tract 130.05, Dallas County, Texas",3261,214
1400000US48113013007,48113013007,"Census Tract 130.07, Dallas County, Texas",3275,446
1400000US48113013008,48113013008,"Census Tract 130.08, Dallas County, Texas",3459,306
1400000US48113013009,48113013009,"Census Tract 130.09, Dallas County, Texas",4880,429
1400000US48113013010,48113013010,"Census Tract 130.10, Dallas County, Texas",4889,459
1400000US48113013011,48113013011,"Census Tract 130.11, Dallas County, Texas",5229,568
1400000US48113013101,48113013101,"Census Tract 131.01, Dallas County, Texas",2766,265
1400000US48113013102,48113013102,"Census Tract 131.02, Dallas County, Texas",1642,153
1400000US48113013104,48113013104,"Census Tract 131.04, Dallas County, Texas",1029,111
1400000US48113013105,48113013105,"Census Tract 131.05, Dallas County, Texas",6663,633
1400000US48113013200,48113013200,"Census Tract 132, Dallas County, Texas",6577,554
1400000US48113013300,48113013300,"Census Tract 133, Dallas County, Texas",2072,149
1400000US48113013400,48113013400,"Census Tract 134, Dallas County, Texas",1925,115
1400000US48113013500,48113013500,"Census Tract 135, Dallas County, Texas",2446,129
1400000US48113013605,48113013605,"Census Tract 136.05, Dallas County, Texas",5708,426
